	Salary	Title	Company	Location
6	$80,000 - $120,000 a year	Data Scientist / Software Developer – Oil and Gas	AvispaTechnology	Houston, TX
3	$135,000 a year	Affiliated Scientist I	DISYS	Houston, TX 77027 (River Oaks area)
10	$70,000 - $130,000 a year		SelbyJennings	Houston, TX
4	$160,000 a year	Science Consultant	OscarTechnology	Houston, TX
8	$60,998 a year	IR Research/Systems Analyst	BaylorCollegeofMedicine	Houston, TX
9	$105,000 - $115,000 a year	Process Development Scientist, III	Clearpoint	Houston, TX
5	$54,590 a year	Quantitative Research Scientist - Options Strategist	BaylorCollegeofMedicine	Houston, TX
9	$72,120 a year	MBA Consultant	BaylorCollegeofMedicine	Houston, TX
5	$75,000 - $120,000 a year	Project Associate	SelbyJennings	Houston, TX
7	$70,000 a year	Data Scientist, Big Data, Machine Learning	TexasA&MUniversity	Houston, TX 77058 (Pasadena area)
4	$68,294 - $87,374 a year	Data Services Consultant/Business Intelligence	CityAdministrator,Ofcofthe	Washington, DC
5	$98,697 - $139,288 a year	Data Scientist/Engineer (4 month contract)	CityAdministrator,Ofcofthe	Washington, DC
4	$140,000 a year	Data Scientist / Intelligence Analyst, Senior	TygartTechnology,Inc.	Washington, DC
8	$78,687 - $101,385 a year	Data Scientist and Sr. Manager, Data Technology and Innovation	Corrections,Departmentof	Washington, DC
6	$92,145 - $119,794 a year	Data Scientist	U.S.DepartmentofLabor	Washington, DC
11	$70,000 - $80,000 a year		JobspringPartners	Arlington, VA
9	$140,000 a year	Senior Data Scientist	ConsumerIntelligenceFirm	Reston, VA
5	$62,338 - $160,300 a year	Defense Research Analyst, Senior	CentralIntelligenceAgency	Washington, DC
11	$85,104 - $109,665 a year		DepartmentofHealth	Washington, DC
3	$130,000 - $150,000 a year	Data Scientist	AIMInnovationsLLC	Chantilly, VA 20151
10	$84,611 a year		NationalSecurityAgency(NSA)	Fort Meade, MD
5	$92,145 - $119,794 a year	Economist	FDAOfficeofNewDrugs	Silver Spring, MD
5	$100,000 - $120,000 a year	Senior Associate, Data Science	All-InAnalytics	Washington, DC
3	$130,000 - $160,000 a year	Data Scientist	ZacharyPiper,LLC	Arlington, VA
9	$65,572 - $84,611 a year	Greenplum Data Scientist SME	NationalSecurityAgency	Fort George G Meade, MD
4	$107,399 - $150,358 a year	Associate Scientist II/Scientist I, Analytical Sciences	DepartmentofHealth	Washington, DC
6	$100,000 - $125,000 a year	Bioinformatics Analyst 631169 (NCI)	AnalyticRecruiting	Washington, DC
10	$55,000 - $60,000 a year		UniversityofVirginia	Washington, DC
7	$1,200 a day	Research Analyst	Harnham	Washington, DC
6	$92,145 - $141,555 a year	Healthcare Market Research Analyst	NationalSecurityAgency	Fort George G Meade, MD
6	$100,000 - $140,000 a year	Imagery Remote Sensing Scientist, Senior	SelbyJennings	Washington, DC
6	$108,887 - $141,555 a year	R Programmer	U.S.DepartmentofLabor	Washington, DC
7	$85,000 a year	Cleared	MbStaffingServices	Rockville, MD
10	$60,000 - $70,000 a year		InovaHealthSystem-Fairfax	Fairfax, VA
3	$120,000 - $150,000 a year	Senior Research Scientist	Modis	McLean, VA 22102
4	$65,572 - $84,611 a year	Senior Research Associate – Patient Reported Outcomes - Bethesda, MD	NationalSecurityAgency	Fort George G Meade, MD
10	$45,000 a year		CarnegieInstitutionforScience	Washington, DC
10	$98,393 - $150,202 a year		WSSC	Laurel, MD 20707
11	$92,145 - $141,555 a year		NationalSecurityAgency	Fort George G Meade, MD
10	$74,399 - $113,574 a year		WSSC	Laurel, MD 20707
3	$100,000 - $130,000 a year	Senior Scientist - Physicist	JobspringPartners	Arlington, VA
8	$59,318 - $119,794 a year	Research Analyst	NationalGeospatial-IntelligenceAgency	Springfield, VA
9	$100,000 - $150,000 a year	Data Scientist (TS/SCI with CI Poly required)	JobspringPartners	Arlington, VA
10	$80,000 a year		GeniusPool	Rockville, MD
5	$78,549 - $104,614 a year	Sample Analysis, Associate Scientist	NSA	Fort Meade, MD 20755
11	$45,000 a year		YourEdgeforSuccessLLC(YES)	Rockville, MD 20850
6	$115,000 - $120,000 a year	Manager, Data Science	SmithHanleyAssociates	Gaithersburg, MD
8	$20.16 an hour	Expert Scientist, Vaccine Formulation and Drug Product Development	InstituteforInVitroSciences	Gaithersburg, MD
4	$58,776 - $113,650 a year	Social Science Research Analyst	CentralIntelligenceAgency	Washington, DC
8	$65,572 - $84,611 a year	INTEL EDUCATOR - SUBJECT MATTER EXPERT Job	NationalSecurityAgency	Fort George G Meade, MD
9	$65,572 - $84,611 a year	Research Analyst (All Source Intel)	NationalSecurityAgency	Fort George G Meade, MD
11	$50,000 a year		WorldwideStaffingExchange,LLC	Washington, DC
7	$40,000 a year	Data Scientist with TS/SCI Clearance with Security Clearance	TheBrookingsInstitution	Washington, DC
11	$24 an hour		G-TechnologyGroup	Alexandria, VA
9	$20 an hour	Engineer	G-TechnologyGroup	Alexandria, VA
6	$150,000 - $200,000 a year	QC Associate Scientist	JobspringPartners	Arlington, VA
3	$130,000 - $140,000 a year	Geospatial ABI Analyst/Data Scientist with Security Clearance	SmithHanleyAssociates	Gaithersburg, MD
11	$40,300 - $56,000 a year		ArizonaStateUniversity	Tempe, AZ
4	$90,000 a year	Research Fellow - Mathematical Modeling of Cancer Job	RetailSearchGrouponbehalfofRetailer	Scottsdale, AZ
5	$56,700 a year	Data Modeling Support Analyst	StateofArizona	Phoenix, AZ 85012 (Alhambra area)
11	$140,000 a year		MoxieRecruiting-Client	Phoenix, AZ
12	$80,000 - $110,000 a year		TheUniversityofArizona	Phoenix, AZ
7	$63,696 - $94,557 a year	Marketing Research Analyst	CityofGoodyear,AZ	Goodyear, AZ
8	$30,000 - $150,000 a year	Customer Training Specialist	TEKYOGI,LLC	Phoenix, AZ 85001 (Central City area)
9	$65,000 a year	Banner Research - Research Billing Analyst	StateofArizona	Phoenix, AZ 85012 (Alhambra area)
5	$53,280 - $85,000 a year	Web Security Research Analyst	ArizonaStateUniversity	Tempe, AZ
8	$50,000 - $55,000 a year	Engineering Technician/Mechanical and Civil Drafter	SiteLock	Scottsdale, AZ
3	$10.68 - $12.00 an hour	Clinical Research Analyst	ArizonaStateUniversity	Tempe, AZ
5	$90,000 - $100,000 a year	Construction Manager- Data Center/Mission Critical Facilities	ReckittBenckiserGroup	Phoenix, AZ
11	$13 - $15 an hour		StiversStaffingServices	Phoenix, AZ
11	$44,616 - $82,618 a year		MaricopaCounty	Phoenix, AZ 85003 (Central City area)
3	$13.17 - $17.60 an hour	Administrative Assistant, Curricular Programs (CoM-Phoenix)	TheUniversityofArizona	Phoenix, AZ
4	$10.16 - $13.94 an hour	Accounting Manager (Phoenix, Arizona)	TheUniversityofArizona	Phoenix, AZ
5	$12.25 - $16.59 an hour	Administrative Assistant, Admissions-Recruitment (Phoenix, AZ)	TheUniversityofArizona	Phoenix, AZ
6	$12.25 - $16.59 an hour	Assistant Director, Information Technology (Phoenix, AZ)	TheUniversityofArizona	Phoenix, AZ
7	$46,329 - $64,067 a year		TheUniversityofArizona	Phoenix, AZ
8	$12.25 - $16.59 an hour		TheUniversityofArizona	Phoenix, AZ
3	$13.17 - $17.60 an hour	Administrative Assistant, Curricular Programs (CoM-Phoenix)	TheUniversityofArizona	Phoenix, AZ
4	$10.16 - $13.94 an hour	Accounting Manager (Phoenix, Arizona)	TheUniversityofArizona	Phoenix, AZ
