	Salary	Title	Company	Location
0	100000	Data Scientist / Software Developer – Oil and Gas	AvispaTechnology	Houston, TX
1	135000	Affiliated Scientist I	DISYS	Houston, TX 77027 (River Oaks area)
2	100000		SelbyJennings	Houston, TX
3	160000	Science Consultant	OscarTechnology	Houston, TX
4	60998	IR Research/Systems Analyst	BaylorCollegeofMedicine	Houston, TX
5	110000	Process Development Scientist, III	Clearpoint	Houston, TX
6	54590	Quantitative Research Scientist - Options Strategist	BaylorCollegeofMedicine	Houston, TX
7	72120	MBA Consultant	BaylorCollegeofMedicine	Houston, TX
8	97500	Project Associate	SelbyJennings	Houston, TX
9	70000	Data Scientist, Big Data, Machine Learning	TexasA&MUniversity	Houston, TX 77058 (Pasadena area)
10	77834	Data Services Consultant/Business Intelligence	CityAdministrator,Ofcofthe	Washington, DC
11	118992	Data Scientist/Engineer (4 month contract)	CityAdministrator,Ofcofthe	Washington, DC
12	140000	Data Scientist / Intelligence Analyst, Senior	TygartTechnology,Inc.	Washington, DC
13	90036	Data Scientist and Sr. Manager, Data Technology and Innovation	Corrections,Departmentof	Washington, DC
14	105969	Data Scientist	U.S.DepartmentofLabor	Washington, DC
15	75000		JobspringPartners	Arlington, VA
16	140000	Senior Data Scientist	ConsumerIntelligenceFirm	Reston, VA
17	111319	Defense Research Analyst, Senior	CentralIntelligenceAgency	Washington, DC
18	97384		DepartmentofHealth	Washington, DC
19	140000	Data Scientist	AIMInnovationsLLC	Chantilly, VA 20151
20	84611		NationalSecurityAgency(NSA)	Fort Meade, MD
21	105969	Economist	FDAOfficeofNewDrugs	Silver Spring, MD
22	110000	Senior Associate, Data Science	All-InAnalytics	Washington, DC
23	145000	Data Scientist	ZacharyPiper,LLC	Arlington, VA
24	75091	Greenplum Data Scientist SME	NationalSecurityAgency	Fort George G Meade, MD
25	128878	Associate Scientist II/Scientist I, Analytical Sciences	DepartmentofHealth	Washington, DC
26	112500	Bioinformatics Analyst 631169 (NCI)	AnalyticRecruiting	Washington, DC
27	57500		UniversityofVirginia	Washington, DC
29	116850	Healthcare Market Research Analyst	NationalSecurityAgency	Fort George G Meade, MD
30	120000	Imagery Remote Sensing Scientist, Senior	SelbyJennings	Washington, DC
31	125221	R Programmer	U.S.DepartmentofLabor	Washington, DC
32	85000	Cleared	MbStaffingServices	Rockville, MD
33	65000		InovaHealthSystem-Fairfax	Fairfax, VA
34	135000	Senior Research Scientist	Modis	McLean, VA 22102
35	75091	Senior Research Associate – Patient Reported Outcomes - Bethesda, MD	NationalSecurityAgency	Fort George G Meade, MD
36	45000		CarnegieInstitutionforScience	Washington, DC
37	124297		WSSC	Laurel, MD 20707
38	116850		NationalSecurityAgency	Fort George G Meade, MD
39	93986		WSSC	Laurel, MD 20707
40	115000	Senior Scientist - Physicist	JobspringPartners	Arlington, VA
41	89556	Research Analyst	NationalGeospatial-IntelligenceAgency	Springfield, VA
42	125000	Data Scientist (TS/SCI with CI Poly required)	JobspringPartners	Arlington, VA
43	80000		GeniusPool	Rockville, MD
44	91581	Sample Analysis, Associate Scientist	NSA	Fort Meade, MD 20755
45	45000		YourEdgeforSuccessLLC(YES)	Rockville, MD 20850
46	117500	Manager, Data Science	SmithHanleyAssociates	Gaithersburg, MD
48	86213	Social Science Research Analyst	CentralIntelligenceAgency	Washington, DC
49	75091	INTEL EDUCATOR - SUBJECT MATTER EXPERT Job	NationalSecurityAgency	Fort George G Meade, MD
50	75091	Research Analyst (All Source Intel)	NationalSecurityAgency	Fort George G Meade, MD
51	50000		WorldwideStaffingExchange,LLC	Washington, DC
52	40000	Data Scientist with TS/SCI Clearance with Security Clearance	TheBrookingsInstitution	Washington, DC
55	175000	QC Associate Scientist	JobspringPartners	Arlington, VA
56	135000	Geospatial ABI Analyst/Data Scientist with Security Clearance	SmithHanleyAssociates	Gaithersburg, MD
57	48150		ArizonaStateUniversity	Tempe, AZ
58	90000	Research Fellow - Mathematical Modeling of Cancer Job	RetailSearchGrouponbehalfofRetailer	Scottsdale, AZ
59	56700	Data Modeling Support Analyst	StateofArizona	Phoenix, AZ 85012 (Alhambra area)
60	140000		MoxieRecruiting-Client	Phoenix, AZ
61	95000		TheUniversityofArizona	Phoenix, AZ
62	79126	Marketing Research Analyst	CityofGoodyear,AZ	Goodyear, AZ
63	90000	Customer Training Specialist	TEKYOGI,LLC	Phoenix, AZ 85001 (Central City area)
64	65000	Banner Research - Research Billing Analyst	StateofArizona	Phoenix, AZ 85012 (Alhambra area)
65	69140	Web Security Research Analyst	ArizonaStateUniversity	Tempe, AZ
66	52500	Engineering Technician/Mechanical and Civil Drafter	SiteLock	Scottsdale, AZ
68	95000	Construction Manager- Data Center/Mission Critical Facilities	ReckittBenckiserGroup	Phoenix, AZ
70	63617		MaricopaCounty	Phoenix, AZ 85003 (Central City area)
75	55198		TheUniversityofArizona	Phoenix, AZ
3017	115000	Statistical Analyst	WorkbridgeAssociates	Chicago, IL
3018	150000	Statistical Research Scientist	SelbyJennings	Chicago, IL
3019	67500	New Graduate - Applied Data Scientist	SmithHanleyAssociates	Evanston, IL
3020	82500		SmithHanleyAssociates	Chicago, IL
3021	115000	Data Scientist	JobspringPartners	Chicago, IL
3022	140000	Lead Data Scientist	AnalyticRecruiting	Chicago, IL
3023	125000		SilvaCapitalManagement	Chicago, IL 60611 (Near North Side area)
3025	50000		InsightsNowInc.	Chicago, IL
3026	165000	R&D Associate Food Scientist	WorkbridgeAssociates	Chicago, IL
3027	147500		SmithHanleyAssociates	Chicago, IL
3028	130000	Athlete Data Management - Sport Science Builder	WorkbridgeAssociates	Chicago, IL
3029	187500		JobspringPartners	Chicago, IL
3031	85000	Statistical Analyst (part-time or full-time contract)	JobspringPartners	Chicago, IL
3033	105000		JobspringPartners	Chicago, IL
3034	70000		CreativeCircle	Chicago, IL
3035	90000		SmithHanleyAssociates	Chicago, IL
3036	87500	Senior Credit REIT Research Analyst	JobspringPartners	Chicago, IL
3037	190000	Data Scientist – Analytics	LT	Chicago, IL
3038	105000	Research Analyst - Technology & Media	WorkbridgeAssociates	Chicago, IL
3039	140000	Market Research Analyst	WorkbridgeAssociates	Deerfield, IL
3040	185000	Observer - Senior Research Analyst	ChicagoFinancialSearchinc	Chicago, IL
3041	115000		WorkbridgeAssociates	Chicago, IL
3042	150000	Senior Survey Research Analyst	SelbyJennings	Chicago, IL
3043	90000	Respiratory Therapy Technician	TheLaSalleNetwork	Chicago, IL 60601 (Loop area)
3044	87500	Research Analyst 1	JobspringPartners	Chicago, IL
3046	130000		WorkbridgeAssociates	Chicago, IL
3047	90000	CSM Consultant	JobspringPartners	Chicago, IL
3048	180000		WorkbridgeAssociates	Chicago, IL
3049	120000	Director, Education | Science | Tech	AnalyticRecruiting	Chicago, IL
3050	170000		JobspringPartners	Evanston, IL
3051	87500	Head of Pricing	BigWednesdayDigital	Chicago, IL 60603 (Loop area)
3052	145000	Formulation Scientist	WorkbridgeAssociates	Chicago, IL
3053	75000		PinpointPharma	Chicago, IL 60290 (Loop area)
3054	77500		RequestTechnology	Northbrook, IL
3056	85000	Data Scientist 21867	ITStaffTechnicalResources	Chicago, IL
3057	87500	Senior DevOps Engineer	JobspringPartners	Chicago, IL
3058	85000		FoodManagementSearch	Chicago, IL
3514	70000		ComSolutionsLLC	San Francisco, CA
3515	180000	Data Scientist	Intelletec	San Francisco Bay Area, CA
3516	250000	Software Engineer - Machine Learning	BlueOwl	San Francisco, CA
3517	120000	Sr. Data Scientist	kWhAnalytics	San Francisco, CA 94104 (Financial District area)
3518	110000		Medlytic	San Francisco, CA
3519	145000	Senior Data Scientist	CorporateLabsTechnology	Brisbane, CA
3520	165000	Senior Data Scientist	WorkbridgeAssociates	San Francisco, CA
3521	160000		HSFConsulting	San Francisco, CA 94108 (Financial District area)
3522	110000		SmithHanleyAssociates	San Francisco, CA
3524	145000	Quantitative Analyst	CorporateLabsTechnology	Brisbane, CA
3525	250000	Save lives with machine learning	BlueOwl	San Francisco, CA
3526	190000	Analytical QC, Principal scientist	JobspringPartners	Redwood City, CA
3527	100000		NelsonJobs	Walnut Creek, CA
3528	76250	Senior Data Scientist	UniversityofCaliforniaBerkeley	Berkeley, CA
3529	145000		WorkbridgeAssociates	Berkeley, CA
3530	145000		WorkbridgeAssociates	San Francisco, CA
3531	142500	Clinical Lab Scientist, LIS	WorkbridgeAssociates	San Francisco, CA
3533	160000	Senior Scientist, Formulation Development	SelbyJennings	San Francisco, CA
3534	55200	Principal Scientist, Genomics Platform	CaliforniaStateUniversity	San Francisco, CA
3535	215000	Senior Engineer – Machine Learning	JobspringPartners	Redwood City, CA
3536	95000	Data Scientist (Statistician)	UniversityofCaliforniaBerkeley	Berkeley, CA
3537	82974	International Product Manager – (Advanced Analytics)	UniversityofCaliforniaBerkeley	Berkeley, CA
3540	53800	Research Associate- Medicinal Chemistry	UniversityofCaliforniaBerkeley	Berkeley, CA
3541	180000	Bioinformatics Analyst	LT	San Francisco Bay Area, CA
3542	49012	Research Scientist Process Chemistry –Scale Up Group	UniversityofCaliforniaBerkeley	Berkeley, CA
3543	215000		LT	San Francisco, CA
3547	155000		GlobalPlacementFirm	San Francisco, CA
3844	155000		GlobalPlacementFirm	San Francisco, CA
3947	150000	Data Scientist	BigCloud	New York, NY
3948	105000		TalentHubWorldwide	New York, NY 10017 (Midtown area)
3949	150000	Data Scientist	Hearts&Science	New York, NY
3950	115000		WorkbridgeAssociates	New York, NY
3951	82500	Data Scientist	SmithHanleyAssociates	New York, NY
3952	200000		GeodeExecutiveSearch	New York, NY
3953	150000	Data Engineer	Averity	New York, NY
3954	177500	Director Data Science - Machine Intelligence	Averity	New York, NY
3955	150000		Averity	New York, NY
3956	55268	Data Scientist- Audience Development	ResearchFoundationforMentalHygiene,Inc.	New York, NY 10032 (Washington Heights area)
3957	199000	Halo Insurance Data Science Senior Associate	TWStaffingSolutions	New York, NY
3958	92500		Averity	New York, NY
3959	76941	Lease Administration Associate	DEPTOFHEALTH/MENTALHYGIENE	New York, NY
3960	88331		NewYorkCityDepartmentofHealthandMentalHygi...	Long Island City, NY 11101
3961	200000	Data Scientist, FinTech	ingenium	New York, NY 10018 (Clinton area)
3962	195000		GreenKeyResources	New York, NY 10016 (Gramercy area)
3963	130000	Train-the-Trainer Trainer	Averity	New York, NY
3964	50000	Analyst, Quantitative Research	VisionPRO	New York, NY
3965	68239	Senior Data Analyst	NewYorkCityDepartmentofHealthandMentalHygi...	Long Island City, NY 11101
3966	100000		HelixSleep	New York, NY
3967	120000		SANSConsultingServices,Inc	New York, NY 10038 (Financial District area)
3968	160000		Net-Consultants	New York, NY
3969	117500		OliverJamesAssociates	New York, NY
3970	61500	Research Analyst	ResearchFoundationofTheCityUniversityofNew...	New York, NY
3972	117437	Quantitative Analyst	CentersforDiseaseControlandPrevention	New York, NY
3973	150000		OliverJamesAssociates	New York, NY
3974	100000	Associate Research Scientist - ICAP	Wade&Wendy	New York, NY
3975	120000		Talon	New York, NY
3976	59984	Data Scientist	CityofNewYork	New York, NY
3977	155000	Senior Data Scientist	JobspringPartners	New York, NY
3978	150000	Python Infrastructure Engineer for Machine Learning	SelbyJennings	New York, NY 10167 (Midtown area)
3980	125000		WorkbridgeAssociates	New York, NY
3981	59984	GrubHub - Data Engineer	NYCHumanResourcesAdministration	New York, NY
3982	70000		ResearchFoundationofTheCityUniversityofNew...	New York, NY
