,status_id,std_sentiment,comment_count,replies,student,learn,year,school,father,daughter,husband,age,college,young,chance,lesson,skill,teacher,program,achieve,degree,education,educator,key,complete,graduate,teach,opportunity,need,world,help,change,fight,core,ability,grow,better,accomplish,succeed,travel,accept,seek,desire,forgiveness,fate,care,people,war,kill,bad,america,issue,blame,action,fact,government,hurt,fix,victim,murder,treat,negative,innocent,poverty,trouble,politician,tired,trauma,poor,pay,rich,price,kid,child,marriage,teacher.1,parent,dad,raise,wife,mom,father.1,mother,father.2,brother,sister,son,daughter.1,work,hard,employee,manager,god,church,bible,right,hope,amazing,soul,grace,union,bless,jesus,religion,doctor,health,mental,illness,tumor,nurse,surgery,cancer,medication,disease,median_sentiment
0,102099916530784_1157449734329125,0.337163805128,8952,4468,3,57,146,201,19,14,138,352,21,848,5,7,4,9,0,2,4,3,0,16,1,1,17,2,154,126,61,38,7,2,4,45,98,0,5,3,13,12,6,13,1,40,664,5,10,76,9,14,8,2,47,8,11,5,0,4,9,45,24,1,13,1,3,1,9,14,5,4,48,25,68,9,8,3,2,23,14,19,16,19,7,7,32,14,174,99,0,0,459,45,232,151,145,44,19,12,1,79,190,95,3,9,1,2,0,1,0,5,0,1,0.0
1,102099916530784_1158129870927778,0.350277429459,8227,1329,1,79,180,192,5,13,137,411,19,1009,5,14,4,3,0,1,1,7,0,16,2,2,7,0,135,59,29,24,18,1,7,52,86,0,6,3,6,5,4,0,1,28,490,1,9,28,2,8,4,4,29,0,8,3,0,0,9,66,23,0,15,0,4,0,7,12,0,0,42,14,48,3,1,17,1,8,21,5,6,5,5,2,15,13,205,121,0,0,39,0,1,124,109,18,9,9,0,59,10,1,0,4,3,1,0,0,1,3,0,1,0.35
2,102099916530784_1158568064217292,0.285315372159,15230,3100,44,70,149,144,31,33,56,211,80,428,24,9,10,12,24,40,34,103,0,19,11,13,21,36,505,241,352,81,16,7,12,26,295,13,34,9,15,7,23,0,2,485,1048,10,15,99,151,69,5,13,73,136,10,23,2,1,24,21,6,55,16,10,9,2,122,291,70,13,239,52,12,12,16,43,51,24,444,31,116,31,47,13,145,33,730,291,17,18,232,1,17,362,368,101,39,18,5,188,12,32,51,537,10,25,0,17,23,51,7,30,0.0
3,102099916530784_1158570757550356,0.273270938838,11928,2750,1,12,22,12,3,15,8,8,3,186,15,3,1,2,1,2,0,0,0,4,8,1,5,5,393,436,49,36,8,2,5,5,81,1,1,8,5,1,4,0,2,22,1075,2,7,140,4,11,4,1,14,1,11,1,0,0,0,79,1,0,4,1,13,0,19,20,5,0,143,25,2,2,1,9,4,6,12,3,9,3,126,6,29,15,176,47,1,0,94,0,1,206,103,141,132,6,3,111,15,2,2,6,6,2,2,0,0,3,0,1,0.0
4,102099916530784_1158809117526520,0.342141913759,8460,1064,22,81,57,617,8,31,45,57,29,340,15,49,1,40,7,8,7,57,0,10,6,8,85,13,288,386,168,59,17,5,6,52,473,2,26,7,8,7,6,1,3,70,1087,5,13,132,20,16,13,5,35,6,37,4,4,2,47,28,5,19,10,3,14,4,123,29,46,9,197,80,5,40,14,15,30,6,70,8,40,8,60,11,51,31,162,186,0,2,296,7,1,166,282,86,82,11,1,215,25,3,8,10,9,5,0,4,2,4,0,3,0.131386634199
5,102099916530784_1159240990816666,0.276069925458,3774,956,14,90,29,559,5,21,19,34,21,304,13,45,1,46,2,18,1,37,3,5,0,11,62,9,122,185,124,47,21,1,6,46,439,2,8,1,6,2,4,4,0,46,562,10,8,59,7,14,10,2,18,1,31,4,4,0,51,7,3,10,5,0,2,1,87,13,29,4,176,68,2,46,13,9,12,4,67,5,33,5,10,7,42,21,68,117,1,0,176,1,3,86,251,62,42,2,0,146,10,1,0,2,3,2,0,1,2,3,0,2,0.0
6,102099916530784_1159907684083330,0.315080171066,4104,264,15,75,37,535,13,63,8,25,29,188,6,28,4,33,4,14,10,24,0,8,5,9,104,7,157,213,118,44,11,3,7,45,352,4,11,2,7,1,5,3,0,37,526,3,3,60,10,13,15,2,16,4,31,4,7,0,40,10,2,14,13,2,3,0,84,17,24,1,151,100,0,33,62,15,38,2,72,13,31,13,14,4,50,63,81,111,0,2,133,3,3,97,201,89,22,5,0,110,3,6,1,4,3,0,0,2,1,0,0,1,0.318693181818
7,102099916530784_1160466854027413,0.335288897698,5334,1524,4,84,59,49,35,76,12,37,11,67,6,59,18,18,6,5,8,18,1,17,3,1,205,10,242,465,158,47,7,1,15,40,193,3,7,3,21,11,10,3,0,87,828,6,12,44,12,13,5,3,23,2,29,11,2,0,34,33,4,4,0,3,2,1,13,11,8,1,19,75,3,18,291,28,122,5,70,35,36,35,4,40,41,76,113,60,1,0,323,41,23,229,156,115,22,12,0,152,187,123,2,8,12,2,0,3,0,5,0,1,0.0
8,102099916530784_1161048793969219,0.277163936615,2277,773,3,15,21,14,14,6,18,17,2,50,6,2,0,2,2,0,0,6,0,1,3,0,23,6,120,131,52,11,5,4,4,15,58,2,4,3,27,5,2,6,1,28,529,8,3,39,15,7,11,3,25,3,18,0,4,1,0,47,2,4,1,0,2,1,12,6,1,0,3,22,3,2,3,4,4,2,4,14,8,14,3,55,13,6,62,17,0,0,406,75,33,103,101,34,8,10,0,148,217,247,0,4,2,1,0,1,2,8,0,1,0.0
9,102099916530784_1161049150635850,0.30477146876,1604,407,0,17,12,5,8,2,15,15,0,29,4,1,1,5,0,1,2,4,1,1,3,0,9,9,70,101,31,7,1,1,1,7,30,1,0,4,16,3,1,7,0,7,350,4,3,31,22,7,4,2,11,8,7,0,0,4,5,31,1,2,3,0,4,2,11,1,0,0,3,26,2,5,2,3,1,0,4,8,1,8,2,26,6,2,32,13,0,0,245,66,27,66,71,23,8,8,1,76,170,137,1,0,1,1,0,0,0,3,0,1,0.0
10,102099916530784_1161264217281010,0.307860017822,2250,1105,2,12,14,4,20,5,11,31,4,42,2,3,0,4,0,4,2,5,0,4,8,0,12,8,147,145,57,24,7,6,5,13,52,1,1,5,37,8,6,9,0,32,604,3,6,48,7,3,6,2,30,5,25,2,1,2,2,48,3,0,4,1,2,1,11,6,3,3,7,29,3,4,0,5,3,1,2,20,10,20,2,73,14,5,61,18,0,0,442,141,60,133,89,30,11,12,0,123,227,244,0,4,5,1,0,1,0,4,0,0,0.0
11,102099916530784_1161275173946581,0.407251531071,5092,700,4,33,29,29,20,2,20,24,1,74,12,8,0,12,2,4,3,9,0,8,6,1,44,14,196,305,59,35,3,4,7,15,111,1,2,4,83,14,6,18,1,37,932,9,10,80,12,13,7,4,41,2,24,5,0,8,20,52,5,1,5,3,6,0,13,5,5,2,5,54,6,12,7,13,2,4,17,20,19,20,18,33,37,2,51,49,0,0,639,124,83,195,126,66,22,37,0,61,329,389,4,5,9,1,0,2,2,10,0,4,0.213549783549
