	title	cuisine	cost	price_level	food_rating	decor_rating	service_rating
0	Les Nomades	French	127.0	VE	4.9	4.7	4.8
1	Goosefoot	French	137.0	E	4.8	4.4	4.7
2	Next Restaurant	Eclectic	209.0	VE	4.8	4.4	4.7
3	Avec Restaurant	Mediterranean	51.0	E	4.8	4.3	4.5
4	Smoque BBQ	Barbecue	20.0	M	4.8	3.5	4.1
5	Topolobampo	Mexican	86.0	E	4.8	4.5	4.6
6	Shanghai Terrace		80.0	VE	4.7	4.8	4.6
7	Riccardo Trattoria	Italian	55.0	E	4.7	4.1	4.5
8	Momotaro	Japanese	77.0	E	4.7	4.7	4.5
9	Texas de Brazil	Steakhouse	62.0	E	4.7	4.5	4.5
10	Bien Trucha	Mexican	36.0	M	4.7	4.1	4.4
11	Nico Osteria	Italian	74.0	E	4.7	4.5	4.5
12	mk	New American	76.0	E	4.7	4.5	4.5
13	Tallgrass Restaurant	French	77.0	VE	4.7	4.4	4.5
14	Joe's Seafood, Prime Steak &amp; Stone Crab	Seafood	71.0	E	4.7	4.3	4.6
15	Tanta Chicago		59.0	E	4.7	4.3	4.4
16	NAHA	New American	74.0	E	4.7	4.5	4.5
17	Ruxbin	New American	55.0	E	4.7	4.4	4.4
18	Bavette's Bar &amp; Boeuf	Steakhouse	75.0	E	4.7	4.6	4.5
19	Gibsons Bar &amp; Steakhouse	Steakhouse	71.0	E	4.7	4.4	4.5
20	Gibsons Bar &amp; Steakhouse	Steakhouse	71.0	E	4.7	4.4	4.5
21	Fat Rice	Asian	44.0	M	4.7	4.2	4.4
22	Frontera Grill	Mexican	49.0	M	4.7	4.3	4.5
23	Gibsons Bar &amp; Steakhouse	Steakhouse	71.0	E	4.7	4.4	4.5
24	Au Cheval	American	31.0	M	4.7	4.1	4.2
25	Texas de Brazil	Steakhouse	62.0	E	4.7	4.5	4.5
26	Piccolo Sogno	Italian	57.0	E	4.7	4.6	4.6
27	Michael Restaurant	French	71.0	M	4.7	4.3	4.6
28	Vie Restaurant		75.0	E	4.7	4.4	4.6
29	Tru	French	166.0	VE	4.7	4.8	4.7
30	Vito &amp; Nick's Pizzeria	Pizza	18.0	M	4.7	3.5	4.1
31	Indie Cafe	Cafe	25.0	M	4.7	4.1	4.4
32	Blackbird Restaurant	American	78.0	E	4.7	4.4	4.6
33	Lula Cafe	New American	36.0	M	4.7	4.3	4.4
34	Grace	New American	245.0	VE	4.7	4.8	4.7
35	Ada Street		48.0	M	4.7	4.6	4.5
36	Lou Malnati's Pizzeria	Pizza	22.0	M	4.6	3.9	4.2
37	Morton's The Steakhouse		75.0	E	4.6	4.4	4.5
38	Kai Zan	Japanese	62.0	M	4.6	4.1	4.5
39	Lou Malnati's Pizzeria	Pizza	22.0	M	4.6	3.9	4.2
40	The Capital Grille		69.0	M	4.6	4.5	4.6
41	Arami	Japanese	57.0	E	4.6	4.2	4.3
42	The Capital Grille		69.0	E	4.6	4.5	4.6
43	Owen &amp; Engine	British	30.0	M	4.6	4.2	4.2
44	Coalfire	Pizza	21.0	I	4.6	3.6	4.2
45	Perry's Steakhouse &amp; Grille	Steakhouse	66.0	E	4.6	4.6	4.5
46	Brindille	French	107.0	VE	4.6	4.4	4.4
47	Ruth's Chris Steak House	Steakhouse	67.0	E	4.6	4.4	4.5
48	Mercat a la Planxa	Spanish	61.0	E	4.6	4.4	4.3
49	The Angry Crab	Seafood	35.0	M	4.6	3.8	4.2
50	Ricobene's	Italian	14.0	I	4.6	3.7	4.2
51	Cumin	Indian	31.0	M	4.6	3.8	4.1
52	Zia's Trattoria	Italian	44.0	M	4.6	4.1	4.2
53	Oceanique	Seafood	74.0	E	4.6	4.1	4.4
54	Hugo's Frog Bar &amp; Fish House	Seafood	56.0	E	4.6	4.3	4.5
55	Lou Malnati's Pizzeria	Pizza	22.0	M	4.6	3.9	4.2
56	Lou Malnati's Pizzeria	Pizza	22.0	M	4.6	3.9	4.2
57	Small Cheval	Burger	1.0	I	4.6	3.8	4.1
58	Lou Malnati's Pizzeria	Pizza	22.0	M	4.6	3.9	4.2
59	Alliance Patisserie	Patisserie		I	4.6	4.4	4.4
60	Lou Malnati's Pizzeria	Pizza	22.0	I	4.6	3.9	4.2
61	Everest	French	121.0	VE	4.6	4.7	4.6
62	Nomi Restaurant	American	80.0	E	4.6	4.6	4.5
63	The Bristol	American	51.0	M	4.6	4.3	4.3
64	Tapas Valencia	Spanish	45.0	M	4.6	4.5	4.5
65	Kuma's Corner		23.0	M	4.6	4.0	4.1
66	Bang Bang Pie Shop	American	16.0	I	4.6	4.0	4.3
