	Restaurant_Name	Address	Rating
0	Afghan Grill	2309 Calvert St. NWWashington, DC 20008	12.0
1	Alta Strada	City Vista465 K St. NWWashington, DC 200	12.0
2	American City Diner of Washington	5532 Connecticut Ave. NWWashington, DC 20015	12.0
3	Asia Nine Bar & Lounge	915 E St. NWWashington, DC 20004	12.0
4	Bambu	5101 MacArthur Blvd. NWWashington, DC 20016	12.0
5	Bangkok Joe's	Washington Harbour Complex3000 K St. NWWashington, DC 200	12.0
6	Bar-Code	1101 17th St. NWWashington, DC 20036	12.0
7	Basil Thai Restaurant	1608 Wisconsin Ave. NWWashington, DC 20007	12.0
8	Bayou on Penn	2519 Pennsylvania Ave. NWWashington, DC 20037	12.0
9	Ben's Chili Bowl	1213 U St. NWWashington, DC 20009	12.0
0	Bertucci's Italian Restaurant	2000 Pennsylvania Ave. NWWashington, DC 20006	12.0
1	Bua Thai	1635 P St. NWWashington, DC 20009	12.0
2	Bullfeathers of Capitol Hill	410 First St. SEWashington, DC 20003	12.0
3	Busboys and Poets	1025 5th St. NWWashington, DC 20001	12.0
4	Cafe Divan	1834 Wisconsin Ave. NWWashington, DC 20007	12.0
5	Cafe Soleil	839 17th St. NWWashington, DC 20006	12.0
6	California Tortilla	3501 Connecticut Ave. NWWashington, DC 200	12.0
7	California Tortilla	728 Seventh St. NWWashington, DC 20001	12.0
8	Chalin's Restaurant	1912 I St. NWWashington, DC 200	12.0
9	The Cheesecake Factory	Chevy Chase Pavilion5345 Wisconsin Ave. NWWashington, DC 20015	12.0
0	Chinatown Garden	618 H St. NWWashington, DC 20001	12.0
1	City Lights of China	1731 Connecticut Ave. NWWashington, DC 20009	12.0
2	Cork Wine Bar	1720 14th St. NWWashington, DC 20009	12.0
3	Cure Bar & Bistro	Grand Hyatt Washington1000 H St. NWWashington, DC 20001	12.0
4	Daily Grill	"1200 18th St. NWWashington, DC 20036

 "	12.0
5	Daily Grill	"The Georgetown Inn1310 Wisconsin Ave. NWWashington, DC 20007 | Menu


 "	12.0
