	title	cuisine	cost	price_level	food_rating	decor_rating	service_rating
0	Monocacy Crossing Restaurant	American	43.0	M	4.8	4.1	4.6
1	Rasika West End	Indian	52.0	E	4.8	4.5	4.5
2	Fiola	Italian	89.0	E	4.8	4.7	4.7
3	Corduroy		89.0	E	4.8	4.5	4.6
4	Rasika	Indian	52.0	M	4.8	4.5	4.5
5	Lucky Corner Vietnamese Cuisine	Vietnamese		M	4.8	3.9	4.3
6	L'Auberge Chez Francois	French	84.0	VE	4.7	4.6	4.7
7	Fogo de Chão Brazilian Steakhouse	Brazilian	66.0	E	4.7	4.4	4.4
8	Tosca	Italian	71.0	E	4.7	4.4	4.6
9	Chima Brazilian Steakhouse	Steakhouse	69.0	E	4.7	4.7	4.6
10	Minibar by José Andrés	Eclectic	325.0	VE	4.7	4.7	4.7
11	The Lafayette	American	80.0	VE	4.7	4.8	4.6
12	The Bombay Club	Indian	54.0	E	4.7	4.6	4.5
13	Prime Rib	Steakhouse	90.0	E	4.7	4.5	4.7
14	Pupatella	Pizza	17.0	M	4.7	3.5	3.8
15	Marcel's by Robert Wiedmaier	Belgian	103.0	VE	4.7	4.6	4.6
16	Red Hen	Italian	50.0	M	4.7	4.5	4.4
17	Zaytinya	Mediterranean	40.0	M	4.7	4.4	4.3
18	Rose's Luxury		64.0	M	4.7	4.6	4.6
19	The Inn at Little Washington		180.0	VE	4.7	4.8	4.7
20	Plume		109.0	VE	4.6	4.8	4.9
21	Rappahannock Oyster Bar		34.0	M	4.6	3.9	4.2
22	Menomale	Pizza	20.0	I	4.6	4.1	4.3
23	Kabob Palace	Middle Eastern	15.0	I	4.6	3.4	3.8
24	Florida Avenue Grill	Soul Food	17.0	M	4.6	3.2	4.1
25	Mintwood Place	American	48.0	M	4.6	4.1	4.4
26	Ruth's Chris Steak House	Steakhouse	66.0	E	4.6	4.4	4.5
27	Ruth's Chris Steak House	Steakhouse	66.0	E	4.6	4.4	4.5
28	Donburi	Japanese	16.0	I	4.6	4.1	4.3
29	SEI	Sushi	41.0	E	4.6	4.6	4.2
30	Lightfoot	American	52.0	M	4.6	4.7	4.5
31	Central Michel Richard	French	50.0	E	4.6	4.2	4.4
32	Ayse Meze Lounge	Mediterranean	36.0	E	4.6	4.3	4.4
33	Restaurant Eve	New American	98.0	VE	4.6	4.5	4.5
34	The Tasting Room	American	52.0	E	4.6	4.1	4.4
35	RT's Restaurant	Cajun	40.0	M	4.6	3.7	4.4
36	Dutch's Daughter	American	43.0	M	4.6	4.5	4.5
37	The Oval Room	New American	69.0	E	4.6	4.3	4.5
38	Brabo	Belgian	64.0	E	4.6	4.3	4.3
