	Restaurant_Name	Address	Stars
0	Noodle Pudding	38 Henry St., New York 11201	0.0
1	Peter Luger	178 Broadway, New York 11211	1.0
2	Vics	31 Great Jones St, New York 10012	0.0
3	Gnocco	337 E. 10th St., New York 10009	0.0
4	Hasaki	210 E. 9th St., New York 10003	0.0
5	Hearth	403 E. 12th St., New York 10009	0.0
6	Kanoyama	175 Second Ave., New York 10003	0.0
7	The Mermaid Inn	96 Second Ave., New York 10003	0.0
8	Soba-Ya	229 E. 9th St., New York 10003	0.0
9	da Umberto	107 W. 17th St., New York 10011	0.0
10	Rocking Horse Cafe	182 Eighth Ave., New York 10011	0.0
11	Paradou	8 Little W. 12th St., New York 10014	0.0
12	annisa	13 Barrow St., New York 10014	0.0
13	BONDST	6 Bond St., New York 10014	0.0
14	Gotham Bar and Grill	12 E. 12th St., New York 10003	1.0
15	Le Gigot	18 Cornelia St., New York 10014	0.0
16	Lupa	170 Thompson St., New York 10012	0.0
17	Pearl Oyster Bar	18 Cornelia St., New York 10014	0.0
18	HanGawi	12 E. 32nd St., New York 10016	0.0
19	Phoenix Garden	242 E. 40th St., New York 10016	0.0
20	Wolfgang's	4 Park Ave., New York 10016	0.0
21	Il Cortile	125 Mulberry St., New York 10013	0.0
22	Dim Sum Go Go	5 East Broadway, New York 10038	0.0
23	Peking Duck House	28 Mott St., New York 10013	0.0
0	Thái Soŉ	89 Baxter St., New York 10013	0.0
1	Babbo	110 Waverly Pl., New York 10011	1.0
2	Crispo	240 W. 14th St., New York 10011	0.0
3	Mary's Fish Camp	64 Charles St., New York 10014	0.0
4	Pó	31 Cornelia St., New York 10014	0.0
5	Sevilla	62 Charles St., New York 10014	0.0
6	MarkJoseph	261 Water St., New York 10038	0.0
7	Nebraska Steakhouse	15 Stone St., New York 10004	0.0
8	Daniel	60 E. 65th St., New York 10065	2.0
9	Il Riccio	152 E. 79th St., New York 10021	0.0
10	JoJo	160 E. 64th St., New York 10021	0.0
11	Lusardi's	1494 Second Ave., New York 10021	0.0
12	Orsay	1057 Lexington Ave., New York 10021	0.0
13	Shanghai Pavilion	1378 Third Ave., New York 10021	0.0
14	Sushi Seki	1143 First Ave., New York 10021	0.0
15	Atlantic Grill	1341 Third Ave., New York 10021	0.0
16	Aureole	135 W. 42nd St., New York 10036	1.0
17	Café Boulud	20 E. 76th St., New York 10021	1.0
18	Blue Water Grill	31 Union Sq. West, New York 10003	0.0
19	Casa Mono	52 Irving Pl., New York 10003	1.0
20	Craftbar	900 Broadway, New York 10003	0.0
21	Craft	43 E. 19th St., New York 10003	0.0
22	Eleven Madison Park	11 Madison Ave., New York 10010	3.0
23	I Trulli	122 E. 27th St., New York 10016	0.0
0	Periyali	35 W. 20th St., New York 10011	0.0
