	Restaurant_Name	Address	Rating
0	44 1/2	626 Tenth Ave.New York, NY 10036	12.0
1	A Cafe	973 Columbus Ave.New York, NY 10025	12.0
2	Adrienne's Pizza Bar	54 Stone St.New York, NY 10004	12.0
3	Agra	807 Lexington Ave.New York, NY 10065	12.0
4	Ajisen Ramen	14 Mott St.New York, NY 10013	12.0
5	Alcala	342 E. 44th St.New York, NY 100	12.0
6	Ali Baba	212 E. 34th St.New York, NY 10016	12.0
7	Alice's Tea Cup	102 W. 73rd St.New York, NY 10023	12.0
8	Almond	12 E. 22nd St.New York, NY 100	12.0
9	Amarone Ristorante	686 Ninth Ave.New York, NY 10036	12.0
0	Ambassador Grill	UN Plaza Hotel1 United Nations PlazaNew York, NY 10017	12.0
1	Amor Cubano	2018 Third Ave.New York, NY 10029	12.0
2	An Choi	85 Orchard St.New York, NY 100	12.0
3	Angelica Kitchen	300 E. 12th St.New York, NY 10003	12.0
4	Angelo's of Mulberry St.	146 Mulberry St.New York, NY 10013	12.0
5	Angus McIndoe	258 W. 44th St.New York, NY 100	12.0
6	Apizz	217 Eldridge St.New York, NY 10002	12.0
7	Apple	17 Waverly Pl.New York, NY 10003	12.0
8	AQ Kafe	1800 BroadwayNew York, NY 10019	12.0
9	Ara Wine Bar	24 Ninth Ave.New York, NY 10014	12.0
0	Ardesia 	510 W. 52nd. St.New York, NY 10019	12.0
1	Arepas Cafe	33-07 36th Ave.Astoria, NY 11106	12.0
2	Arte Cafe	106 W. 73rd St.New York, NY 100	12.0
3	Arturo's	106 W. Houston St.New York, NY 10012	12.0
4	At Vermilion	480 Lexington Ave.New York, NY 10017	12.0
5	Awash	947 Amsterdam Ave.New York, NY 10025	12.0
6	Awash	338 E. Sixth St.New York, NY 10003	12.0
7	AYZA Wine & Chocolate Bar	11 W. 31st St.New York, NY 10001	12.0
8	AYZA Wine & Chocolate Bar	1 Seventh Ave. S.New York, NY 10014	12.0
9	Azul Bistro	152 Stanton St.New York, NY 100	12.0
0	Bahr Che	26 Astor Pl.New York, NY 10003	12.0
1	Baker Street Pub	1152 First Ave.New York, NY 10021	12.0
2	Bamboo 52	344 W. 52nd St.New York, NY 10019	12.0
3	Bar Pitti	268 Sixth Ave.New York, NY 10014	12.0
4	Bar Tabac	128 Smith St.Brooklyn, NY 112	12.0
5	Le Baratin	26 Greenwich Ave.New York, NY 100	12.0
6	BareBurger	3321 31st Ave.Astoria, NY 11106	12.0
7	Barney Greengrass	541 Amsterdam Ave.New York, NY 10024	12.0
8	Basta Pasta	37 W. 17th St.New York, NY 10011	12.0
9	Bayard's Ale  House	533 Hudson St.New York, NY 10014	12.0
0	The Beatrice Inn	285 W. 12th St.New York, NY 10014	12.0
1	Beautique	8 W. 58th St.New York, NY 100	12.0
2	Beer & Buns	St. Giles Hotel - The Court130 E. 39th St.New York, NY 10016	12.0
3	Bell Book & Candle	141 W. 10th St.New York, NY 10014	12.0
4	Bella Blu	967 Lexington Ave.New York, NY 100	12.0
5	Bello	863 Ninth Ave.New York, NY 100	12.0
