	Restaurant_Name	Address	Rating
0	7 Mile House	2800 Bayshore Blvd.Brisbane, CA 940	12.0
1	Ace Wasabi's Rock-n-Roll Sushi	3339 Steiner St.San Francisco, CA 94123	12.0
2	Amici's East Coast Pizzeria	1242 Fourth St.San Rafael, CA 94901	12.0
3	Amici's East Coast Pizzeria	226 Redwood Shores Pkwy.Redwood City, CA 94065	12.0
4	Amici's East Coast Pizzeria	880 Santa Cruz Ave.Menlo Park, CA 940	12.0
5	Anchor & Hope	83 Minna St.San Francisco, CA 94105	12.0
6	Aurea	Stanford Court San Francisco905 California St.San Francisco, CA 94108	12.0
7	Baby Blues BBQ	3149 Mission St.San Francisco, CA 941	12.0
8	Barbara's Fish Trap	281 Capistrano Rd.Half Moon Bay, CA 94019	12.0
9	Beach Chalet	Beach Chalet1000 Great Hwy.San Francisco, CA 941	12.0
0	Belly Burgers	5740 Geary Blvd.San Francisco, CA 94121	12.0
1	Binh Minh Quan	338 12th St.Oakland, CA 94607	12.0
2	Bissap Baobab	3372 19th St.San Francisco, CA 94110	12.0
3	Bistro Liaison	1849 Shattuck Ave.Berkeley, CA 94709	12.0
4	Black Angus Steakhouse	4814 Dublin Blvd.Dublin, CA 94568	12.0
5	Black Angus Steakhouse	3195 N. Main St.Pleasant Hill, CA 94523	12.0
6	Black Angus Steakhouse	15800 Hesperian Blvd.San Lorenzo, CA 94580	12.0
7	Black Angus Steakhouse	124 Plaza Dr.Vallejo, CA 94591	12.0
8	Blowfish Sushi to Die For	2170 Bryant St.San Francisco, CA 94110	12.0
9	Blue Agave Club	625 Main St.Pleasanton, CA 94566	12.0
0	Blue Garden Cafe	Allied Arts Guild75 Arbor Rd.Menlo Park, CA 94025	12.0
1	Blue Mermaid Chowder House & Bar	Argonaut HotelHaslett Warehouse471 Jefferson St.San Francisco, CA 94109	12.0
2	Boudin SF	156 Jefferson St.San Francisco, CA 94133	12.0
3	The Brazen Head Restaurant	3166 Buchanan St.San Francisco, CA 94123	12.0
4	Brickhouse Cafe	426 Brannan St.San Francisco, CA 941	12.0
5	Brother's Korean Restaurant	4128 Geary St.San Francisco, CA 941	12.0
6	Buck's of Woodside	3062 Woodside Rd.Woodside, CA 94062	12.0
7	Bungalow 44	44 E. Blithedale Ave.Mill Valley, CA 94941	12.0
8	Burger Bar	Macy's Union Square251 Geary St.San Francisco, CA 94102	12.0
9	Cafe Bastille	22 Belden Pl.San Francisco, CA 94104	12.0
0	Cafe Pro Bono	2437 Birch St.Palo Alto, CA 94306	12.0
1	Cafe Reyes	11101 State Rte. 1Point Reyes Station, CA 949	12.0
2	Cafe Tiramisu	28 Belden Pl.San Francisco, CA 94104	12.0
3	Cafe Zoetrope	916 Kearny St.San Francisco, CA 94133	12.0
4	Caffe Delle Stelle	395 Hayes St.San Francisco, CA 94102	12.0
5	California Pizza Kitchen	5614 Bay St., #244Emeryville, CA 94608	12.0
6	California Pizza Kitchen	53 Third St.San Francisco, CA 94103	12.0
7	California Pizza Kitchen	Broadway Plaza Shopping Center1120 Broadway PlazaWalnut Creek, CA 94596	12.0
8	California Pizza Kitchen	Corte Madera Town Center347 Corte Madera Town Center, Sp. 347Corte Madera, CA 94925	12.0
9	California Pizza Kitchen	Hillsdale Shopping Center100 Hillsdale Shopping CenterSan Mateo, CA 94403	12.0
0	Calzone's	430 Columbus Ave.San Francisco, CA 941	12.0
1	The Caprice	2000 Paradise Dr.Tiburon, CA 94920	12.0
2	Carpaccio	1120 Crane St.Menlo Park, CA 94025	12.0
3	Casa Orinda	20 Bryant WayOrinda, CA 94563	12.0
4	Cha Cha Cha	1801 Haight St.San Francisco, CA 94117	12.0
5	Chavo's Mexican Restaurant	595 Bryant St.San Francisco, CA 94107	12.0
6	The Cheesecake Factory	375 University Ave.Palo Alto, CA 943	12.0
7	The Cheesecake Factory	Macy's251 Geary St., 8th Fl.San Francisco, CA 94102	12.0
8	Chop Bar	247 4th St.Oakland, CA 94607	12.0
9	Christopher's Nothing Fancy Cafe	1019 San Pablo Ave., #21Albany, CA 94706	12.0
0	Club Waziema	543 Divisadero St.San Francisco, CA 94117	12.0
1	Coast Cafe	46 Wharf Rd.Bolinas, CA 949	12.0
2	Colibri Mexican Bistro	438 Geary St.San Francisco, CA 94102	12.0
3	Commonwealth Cafe & Public House  	2882 Telegraph Ave.Oakland, CA 94609	12.0
4	The Counter	369 S. California Ave.Palo Alto, CA 943	12.0
5	Crossroads Cafe	699 Delancey St.San Francisco, CA 94107	12.0
6	Daily Grill	"347 Geary St.San Francisco, CA 94102 | Menu


 "	12.0
7	Dino's Family Restaurant	36930 Fremont Blvd.Fremont, CA 945	12.0
8	District	216 Townsend St.San Francisco, CA 94107	12.0
9	DJ's Bistro 	1825 Sutter St.Concord, CA 94520	12.0
0	Don Pico's Mexican Bistro	461 El Camino RealSan Bruno, CA 94066	12.0
1	Duarte's Tavern	202 Stage Rd.Pescadero, CA 94060	12.0
2	Eddie Rickenbacker's	133 Second St.San Francisco, CA 941	12.0
3	Esperpento	3295 22nd St.San Francisco, CA 94110	12.0
4	Espetus Churrascaria	710 S. B St.San Mateo, CA 944	12.0
5	Fat Apples Restaurant & Bakery	1346 Martin Luther King Jr. WayBerkeley, CA 94709	12.0
6	Fentons Creamery & Restaurant	4226 Piedmont Ave.Oakland, CA 94611	12.0
7	Finnegan's Marin	877 Grant Ave.Novato, CA 94945	12.0
8	Fly	762 Divisadero St.San Francisco, CA 94117	12.0
9	Fresca	2114 Fillmore St.San Francisco, CA 94115	12.0
0	Gira Polli	590 E. Blithedale Ave.Mill Valley, CA 94941	12.0
1	Golden Chopsticks	1650 Balboa St.San Francisco, CA 94121	12.0
2	Gordon Biersch Brewery Restaurant	640 Emerson St.Palo Alto, CA 94301	12.0
3	Happy Garden Restaurant	815 Clement St.San Francisco, CA 94118	12.0
4	Henry's Hunan Restaurant	1016 Bryant St.San Francisco, CA 94103	12.0
5	Ho Chow	47966 Warm Springs Blvd.Fremont, CA 94539	12.0
6	Home of Chicken & Waffles	444 Embarcadero W.Oakland, CA 94607	12.0
7	The House	1230 Grant Ave.San Francisco, CA 941	12.0
8	The Irish Bank	10 Mark Ln.San Francisco, CA 94108	12.0
9	Isobune	Kintetsu Mall1737 Post St.San Francisco, CA 941	12.0
0	Jai Yun	680 Clay St.San Francisco, CA 94111	12.0
1	Jazz Bistro at Les Joulins	44 Ellis St.San Francisco, CA 94102	12.0
2	Jillian's	Metreon175 4th St.San Francisco, CA 94103	12.0
3	Jupiter	2181 Shattuck Ave.Berkeley, CA 94704	12.0
4	Kabul	135 El Camino RealSan Carlos, CA 94070	12.0
5	Kate's Kitchen	471 Haight St.San Francisco, CA 941	12.0
6	Katia's, A Russian Tea Room	600 Fifth Ave.San Francisco, CA 941	12.0
7	Kitaro	5723 Geary Blvd.San Francisco, CA 94121	12.0
8	Korea House	1620 Post St.San Francisco, CA 94115	12.0
9	Kuleto's	Villa Florence Hotel221 Powell St.San Francisco, CA 94102	12.0
0	La Vie	5830 Geary Blvd.San Francisco, CA 94121	12.0
1	Lalita	96 McAllister St.San Francisco, CA 94102	12.0
2	Las Montanas	1841 Willow Pass Rd.Concord, CA 945	12.0
3	Little Plearn	2283 Shattuck Ave.Berkeley, CA 947	12.0
4	Lucky Creation	854 Washington St.San Francisco, CA 94108	12.0
5	Mama's on Washington Square	1701 Stockton St.San Francisco, CA 94133	12.0
6	Manivanh Thai	2732 24th St.San Francisco, CA 94110	12.0
