	title	cuisine	cost	price_level	food_rating	decor_rating	service_rating
0	Acquerello	Italian	118.0	VE	4.9	4.7	4.8
1	The French Laundry	French	263.0	VE	4.9	4.7	4.8
2	Kusakabe	Japanese	142.0	VE	4.8	4.6	4.7
3	Kokkari Estiatorio	Greek	68.0	VE	4.8	4.7	4.7
4	Restaurant Gary Danko	French	126.0	VE	4.8	4.7	4.9
5	Boulevard	American	77.0	VE	4.8	4.6	4.6
6	La Ciccia	Italian	55.0	E	4.8	4.0	4.6
7	b. patisserie		15.0	I	4.8	4.1	4.2
8	Chez Panisse	Californian	74.0	VE	4.8	4.6	4.7
9	Benu	New American	236.0	VE	4.8	4.6	4.8
10	Emilia's Pizzeria	Pizza	17.0	I	4.7	3.4	4.1
11	Bi-Rite Market		8.0	I	4.7	3.6	4.2
12	Esin Restaurant &amp; Bar	Mediterranean	52.0	E	4.7	4.4	4.6
13	Cucina Paradiso	Italian	43.0	M	4.7	4.3	4.5
14	Commis	New American	129.0	VE	4.7	4.2	4.6
15	Quince		177.0	VE	4.7	4.8	4.7
16	Diavola Pizzeria &amp; Salumeria	Pizza	41.0	M	4.7	4.0	4.3
17	Tony’s Coal Fired Pizza &amp; Slice House	Pizza	24.0	I	4.7	3.7	4.1
18	Mourad	Moroccan	79.0	VE	4.7	4.6	4.5
19	The House	Asian	44.0	E	4.7	3.6	4.2
20	Bistro Jeanty	French	58.0	E	4.7	4.3	4.5
21	Frances	American	67.0	VE	4.7	4.1	4.6
22	Bi-Rite Creamery		8.0	I	4.7	3.6	4.2
23	Sushi Ran	Japanese	68.0	VE	4.7	4.2	4.4
24	Auberge du Soleil Restaurant	American	96.0	VE	4.7	4.8	4.7
25	Evvia Estiatorio	Greek	63.0	E	4.7	4.6	4.5
26	Swan Oyster Depot	Seafood	40.0	M	4.7	3.3	4.2
27	Nick's Next Door	Bistro	63.0	E	4.7	4.2	4.5
28	Marica Seafood Restaurant	Seafood	44.0	E	4.7	3.8	4.4
29	Tartine Bakery		18.0	I	4.7	3.6	3.7
30	Lazy Bear	New American	180.0	VE	4.7	4.4	4.6
31	Redd	New American	75.0	VE	4.7	4.3	4.5
32	Wakuriya	Japanese	114.0	VE	4.7	4.4	4.4
33	Manresa	American	213.0	VE	4.7	4.7	4.8
34	Tony's Pizza Napoletana	Pizza	28.0	M	4.7	3.8	4.0
35	Octavia	New American	70.0	VE	4.7	4.4	4.5
36	La Folie		121.0	VE	4.7	4.6	4.8
37	Terrapin Creek	Californian	58.0	E	4.7	4.1	4.7
38	PRESS	Steakhouse	97.0	VE	4.7	4.6	4.6
39	Odeum	Mediterranean	54.0	E	4.7	4.2	4.3
40	Mitchell's Ice Cream	Ice Cream Shop	8.0	I	4.7	3.3	4.0
41	Farmhouse Inn Restaurant	American	101.0	VE	4.7	4.5	4.7
42	Saru Sushi Bar	Japanese	56.0	E	4.7	4.1	4.4
43	Bouchon	French	61.0	E	4.7	4.4	4.5
